Date,Open,High,Low,Close,Adj Close,Volume
2021-03-13,0.058611,0.067317,0.052212,0.053560,0.053560,243715787
2021-03-14,0.053073,0.089260,0.052710,0.082070,0.082070,474625650
2021-03-15,0.081278,0.107730,0.077056,0.086387,0.086387,714006805
2021-03-16,0.086528,0.100812,0.076466,0.084115,0.084115,266730507
2021-03-17,0.084272,0.088795,0.074544,0.081861,0.081861,159018822
2021-03-18,0.082129,0.101686,0.078387,0.094715,0.094715,276857632
2021-03-19,0.095016,0.125980,0.090557,0.116958,0.116958,631891765
2021-03-20,0.116760,0.125102,0.107717,0.113787,0.113787,239985952
2021-03-21,0.113733,0.180440,0.111325,0.176488,0.176488,1070447496
2021-03-22,0.177167,0.191140,0.150263,0.157342,0.157342,743400342
2021-03-23,0.156734,0.187279,0.141491,0.159230,0.159230,488307607
2021-03-24,0.158968,0.219886,0.158629,0.199562,0.199562,835945437
2021-03-25,0.198811,0.200871,0.167000,0.180378,0.180378,500237809
2021-03-26,0.179527,0.195486,0.175468,0.181182,0.181182,279486712
2021-03-27,0.181230,0.188703,0.163723,0.164694,0.164694,209942864
2021-03-28,0.164212,0.209529,0.160490,0.202660,0.202660,457091757
2021-03-29,0.203013,0.223296,0.194498,0.198977,0.198977,421627934
2021-03-30,0.198882,0.204030,0.185598,0.190381,0.190381,236094624
2021-03-31,0.190210,0.190551,0.171665,0.176850,0.176850,184582604
2021-04-01,0.176712,0.196149,0.173154,0.177512,0.177512,219085834
2021-04-02,0.177316,0.178654,0.166674,0.169671,0.169671,144297414
2021-04-03,0.169272,0.180486,0.146336,0.152341,0.152341,227424114
2021-04-04,0.152236,0.170699,0.150079,0.159309,0.159309,186717154
2021-04-05,0.159147,0.169602,0.150890,0.154539,0.154539,192981682
2021-04-06,0.154381,0.159445,0.135200,0.145548,0.145548,189675071
2021-04-07,0.145306,0.169233,0.119811,0.155077,0.155077,461520277
2021-04-08,0.155282,0.176721,0.153438,0.160697,0.160697,271418524
2021-04-09,0.161065,0.168359,0.154793,0.157814,0.157814,142119368
2021-04-10,0.157582,0.160442,0.147105,0.150085,0.150085,123942885
2021-04-11,0.150477,0.155711,0.143020,0.143079,0.143079,104752701
2021-04-12,0.142749,0.149479,0.136979,0.149152,0.149152,148270842
2021-04-13,0.149389,0.163791,0.144180,0.147167,0.147167,244718712
2021-04-14,0.147156,0.153169,0.140560,0.150234,0.150234,165210693
2021-04-15,0.149797,0.165257,0.146519,0.154020,0.154020,190617250
2021-04-16,0.153925,0.154635,0.136392,0.141747,0.141747,207744864
2021-04-17,0.141718,0.155332,0.141718,0.145106,0.145106,188239959
2021-04-18,0.144902,0.146651,0.105286,0.128579,0.128579,226288834
2021-04-19,0.128417,0.138521,0.112309,0.116704,0.116704,176501542
2021-04-20,0.115793,0.124672,0.105636,0.119235,0.119235,186648734
2021-04-21,0.119602,0.125161,0.113214,0.115286,0.115286,105140458
2021-04-22,0.114269,0.124646,0.101193,0.104232,0.104232,108422750
2021-04-23,0.104342,0.107125,0.072482,0.106200,0.106200,221582397
2021-04-24,0.106451,0.108267,0.095824,0.099107,0.099107,93507090
